City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,lambarene,-0.7001,10.2406,23.83,96,100,1.36,GA,1730271242
282,peace river,56.2501,-117.286,-1.83,86,75,1.54,CA,1730270796
283,troitskiy,57.0603,63.7481,2.8,62,14,3.49,RU,1730271244
284,georgetown,5.4112,100.3354,31.96,66,20,3.6,MY,1730271154
285,chilliwack,49.1747,-121.9443,8.03,95,100,0.51,CA,1730271009
286,east london,-33.0153,27.9116,15.52,88,100,6.69,ZA,1730271248
287,golhisar,37.1459,29.5088,13.07,38,57,1.69,TR,1730271250
288,dali,25.7,100.1833,20.41,51,100,2.6,CN,1730270823
289,coquimbo,-29.9533,-71.3436,14.85,84,100,2.57,CL,1730271252
290,mount isa,-20.7333,139.5,28.87,51,75,7.2,AU,1730271253
291,starke,29.9441,-82.1098,20.07,99,0,3.09,US,1730271255
292,khorixas,-20.3667,14.9667,24.23,18,0,2.67,NA,1730271256
293,olinda,-8.0089,-34.8553,25.85,69,20,3.6,BR,1730271257
294,hualien city,23.9769,121.6044,27.4,90,100,4.21,TW,1730271259
295,kismayo,-0.3582,42.5454,28.8,64,17,3.49,SO,1730271260
296,mariental,-24.6333,17.9667,22.21,31,0,5.87,NA,1730271261
297,mogok,22.9167,96.5,23.51,64,29,1.78,MM,1730271263
298,macapa,0.0389,-51.0664,25.99,89,100,2.57,BR,1730271264
299,saint-joseph,-21.3667,55.6167,26.21,73,82,6.38,RE,1730271266
300,tenenkou,14.4572,-4.9169,25.95,30,64,2.87,ML,1730271267
301,amherstburg,42.1168,-83.0499,21.1,67,0,6.69,CA,1730271269
302,masterton,-40.9597,175.6575,7.81,93,9,1.67,NZ,1730271270
303,queenstown,-31.8976,26.8753,13.04,61,78,3.67,ZA,1730271272
304,mogadishu,2.0371,45.3438,27.62,69,8,2.64,SO,1730271273
305,turpan,42.9333,89.1667,17.38,34,100,0.78,CN,1730271274
306,morazan,15.3167,-87.6,21.19,98,100,0.92,HN,1730271276
307,weinan,34.5036,109.5089,14.71,87,100,2.63,CN,1730271277
308,rio rancho,35.2334,-106.6645,12.3,24,2,2.24,US,1730271162
309,cannonvale,-20.2833,148.7,24.66,61,0,6.06,AU,1730271280
310,palmer,42.1584,-72.3287,11.02,79,100,2.06,US,1730271281
311,bubaque,11.2833,-15.8333,27.46,75,94,3.88,GW,1730271282
312,nemuro,43.3236,145.575,11.3,67,36,1.4,JP,1730271283
313,ornskoldsvik,63.2909,18.7153,3.53,65,0,11.32,SE,1730271285
314,watsa,3.0372,29.5355,25.24,70,7,0.66,CD,1730271286
315,gay,51.4666,58.4552,2.11,60,8,2.03,RU,1730271287
316,miquelon,47.0975,-56.3814,4.24,68,72,5.27,PM,1730271289
317,itoman,26.1247,127.6694,30.22,79,75,6.17,JP,1730271290
318,ingeniero jacobacci,-41.3427,-69.5448,16.68,21,97,0.49,AR,1730271291
319,poyarkovo,49.6,128.6833,9.65,50,98,3.64,RU,1730271293
320,aljezur,37.3191,-8.8033,14.29,89,100,3.35,PT,1730271294
321,port lincoln,-34.7333,135.8667,19.84,52,7,5.37,AU,1730271295
322,mao,39.8885,4.2658,21.31,94,75,7.72,ES,1730271297
323,princeville,45.7668,-61.2985,-1.24,85,0,1.54,CA,1730271298
324,klodawa,52.2545,18.9135,12.09,90,100,4.45,PL,1730271299
325,colonia,50.9333,6.95,13.31,92,100,1.54,DE,1730271301
326,kerman,30.2832,57.0788,17.92,34,0,2.06,IR,1730271302
327,ponta delgada,37.7333,-25.6667,18.44,88,20,2.57,PT,1730271303
328,khanbari,27.3747,87.2039,26.9,65,16,2.41,NP,1730271305
329,joao pinheiro,-17.7425,-46.1725,19.58,92,100,2.07,BR,1730271306
330,usakos,-22.0,15.6,25.8,19,0,8.14,NA,1730271307
331,gamba,-2.65,10.0,25.35,85,100,2.49,GA,1730271309
332,nyurba,63.2842,118.3319,-16.98,97,49,0.77,RU,1730271310
333,kavaratti,10.5669,72.642,27.74,66,15,1.04,IN,1730271311
334,ha'il,27.5219,41.6907,19.01,82,0,3.09,SA,1730271313
335,north ward,-19.2454,146.8075,27.95,57,20,6.69,AU,1730271314
336,hauterive,46.0901,3.4459,10.75,96,0,0.75,FR,1730271315
337,emerald,-23.5333,148.1667,33.1,18,1,2.25,AU,1730271316
338,kirakira,-10.4544,161.9205,27.52,78,87,1.56,SB,1730271318
339,constantia,44.1833,28.65,9.38,65,57,2.88,RO,1730271319
340,moneteau,47.8492,3.5818,9.88,95,3,1.85,FR,1730271320
341,tajerouine,35.8917,8.5528,18.41,73,62,1.56,TN,1730271322
342,sitka,57.0531,-135.33,10.94,54,100,11.83,US,1730271105
343,cheongsong gun,36.4335,129.057,17.05,57,0,0.77,KR,1730271324
344,arno,60.1167,18.6333,5.9,85,100,4.0,SE,1730271326
345,waddan,29.1614,16.139,19.39,66,0,1.5,LY,1730271327
346,ta`u,-14.2336,-169.5144,26.79,81,100,8.1,AS,1730271328
347,namdrik,5.5994,168.1028,25.7,86,100,0.75,MH,1730271330
348,mumbwa,-14.9783,27.0619,27.77,48,10,2.5,ZM,1730271331
349,yallahs,17.8748,-76.5624,28.85,87,100,2.89,JM,1730271332
350,derzhavinsk,51.1,66.3167,2.22,93,100,3.65,KZ,1730271334
351,amungan,15.3652,119.9582,27.0,84,100,2.44,PH,1730271335
